,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price
22,1,118.0,7,1.0,0.0,0,3,2.0,1.0,93.7,157.3,63.8,50.8,2128,4.0,4.0,98,6.0,3.03,3.39,7.6,102.0,5500.0,30,7957
23,1,148.0,7,1.0,1.0,1,3,2.0,1.0,93.7,157.3,63.8,50.6,1967,4.0,4.0,90,5.0,2.97,3.23,9.4,68.0,5500.0,38,6229
24,1,148.0,7,1.0,1.0,1,4,2.0,1.0,93.7,157.3,63.8,50.6,1989,4.0,4.0,90,5.0,2.97,3.23,9.4,68.0,5500.0,38,6692
25,1,148.0,7,1.0,1.0,1,4,2.0,1.0,93.7,157.3,63.8,50.6,1989,4.0,4.0,90,5.0,2.97,3.23,9.4,68.0,5500.0,38,7609
26,1,148.0,7,1.0,0.0,1,4,2.0,1.0,93.7,157.3,63.8,50.6,2191,4.0,4.0,98,6.0,3.03,3.39,7.6,102.0,5500.0,30,8558
27,-1,110.0,7,1.0,1.0,1,2,2.0,1.0,103.3,174.6,64.6,59.8,2535,4.0,4.0,122,5.0,3.34,3.46,8.5,88.0,5000.0,30,8921
28,3,145.0,7,1.0,0.0,0,3,2.0,1.0,95.9,173.2,66.3,50.2,2811,4.0,4.0,156,0.0,3.6,3.29,9.0,145.0,5000.0,24,12964
29,2,137.0,10,1.0,1.0,0,3,2.0,1.0,86.6,144.6,63.9,50.8,1713,4.0,4.0,92,3.0,2.91,3.41,9.6,58.0,4800.0,30,6479
30,2,137.0,10,1.0,1.0,0,3,2.0,1.0,86.6,144.6,63.9,50.8,1819,4.0,4.0,92,3.0,2.91,3.41,9.2,76.0,6000.0,38,6855
31,1,101.0,10,1.0,1.0,0,3,2.0,1.0,93.7,150.0,64.0,52.6,1837,4.0,4.0,79,3.0,2.91,3.07,10.1,60.0,5500.0,42,5399
32,1,101.0,10,1.0,1.0,0,3,2.0,1.0,93.7,150.0,64.0,52.6,1940,4.0,4.0,92,3.0,2.91,3.41,9.2,76.0,6000.0,34,6529
33,1,101.0,10,1.0,1.0,0,3,2.0,1.0,93.7,150.0,64.0,52.6,1956,4.0,4.0,92,3.0,2.91,3.41,9.2,76.0,6000.0,34,7129
34,0,110.0,10,1.0,1.0,1,4,2.0,1.0,96.5,163.4,64.0,54.5,2010,4.0,4.0,92,3.0,2.91,3.41,9.2,76.0,6000.0,34,7295
35,0,78.0,10,1.0,1.0,1,2,2.0,1.0,96.5,157.1,63.9,58.3,2024,4.0,4.0,92,3.0,2.92,3.41,9.2,76.0,6000.0,34,7295
36,0,106.0,10,1.0,1.0,0,3,2.0,1.0,96.5,167.5,65.2,53.3,2236,4.0,4.0,110,3.0,3.15,3.58,9.0,86.0,5800.0,33,7895
37,0,106.0,10,1.0,1.0,0,3,2.0,1.0,96.5,167.5,65.2,53.3,2289,4.0,4.0,110,3.0,3.15,3.58,9.0,86.0,5800.0,33,9095
38,0,85.0,10,1.0,1.0,1,4,2.0,1.0,96.5,175.4,65.2,54.1,2304,4.0,4.0,110,3.0,3.15,3.58,9.0,86.0,5800.0,33,8845
39,0,85.0,10,1.0,1.0,1,4,2.0,1.0,96.5,175.4,62.5,54.1,2372,4.0,4.0,110,3.0,3.15,3.58,9.0,86.0,5800.0,33,10295
40,0,85.0,10,1.0,1.0,1,4,2.0,1.0,96.5,175.4,65.2,54.1,2465,4.0,4.0,110,6.0,3.15,3.58,9.0,101.0,5800.0,28,12945
41,1,107.0,10,1.0,1.0,0,4,2.0,1.0,96.5,169.1,66.0,51.0,2293,4.0,4.0,110,5.0,3.15,3.58,9.1,100.0,5500.0,31,10345
42,0,115.0,1,1.0,1.0,1,4,1.0,1.0,94.3,170.7,61.8,53.5,2337,4.0,4.0,111,5.0,3.31,3.23,8.5,78.0,4800.0,29,6785
43,2,115.0,1,1.0,1.0,0,3,1.0,1.0,96.0,172.6,65.2,51.4,2734,4.0,4.0,119,0.0,3.43,3.23,9.2,90.0,5000.0,29,11048
44,0,145.0,2,1.0,1.0,1,4,1.0,1.0,113.0,199.6,69.6,52.8,2414,1.0,3.0,120,6.0,3.63,3.29,8.1,176.0,4750.0,19,32250
45,0,115.0,2,1.0,1.0,1,4,1.0,1.0,113.0,199.6,69.6,52.8,2414,1.0,3.0,120,6.0,3.63,3.29,8.1,176.0,4750.0,19,35550
46,0,115.0,2,1.0,1.0,0,4,1.0,1.0,102.0,191.7,65.5,47.8,3950,2.0,0.0,120,6.0,3.54,2.76,9.0,95.0,5000.0,17,36000
47,1,104.0,11,1.0,1.0,0,3,2.0,1.0,93.1,159.1,64.2,54.1,1890,4.0,4.0,91,5.0,3.03,3.15,9.0,68.0,5000.0,31,5195
48,1,104.0,11,1.0,1.0,0,3,2.0,1.0,93.1,159.1,64.2,54.1,1900,4.0,4.0,91,5.0,3.03,3.15,9.0,68.0,5000.0,38,6095
49,1,104.0,11,1.0,1.0,0,3,2.0,1.0,93.1,159.1,64.2,54.1,1905,4.0,4.0,91,5.0,3.03,3.15,9.0,68.0,5000.0,38,6795
50,1,113.0,11,1.0,1.0,1,4,2.0,1.0,93.1,166.8,64.2,54.1,1945,4.0,4.0,91,5.0,3.03,3.15,9.0,68.0,5000.0,38,6695
51,1,113.0,11,1.0,1.0,1,4,2.0,1.0,93.1,166.8,64.2,54.1,1950,4.0,4.0,91,5.0,3.08,3.15,9.0,68.0,5000.0,38,7395
52,3,150.0,11,1.0,1.0,0,3,1.0,1.0,95.3,169.0,65.7,49.6,2380,0.0,1.0,70,1.0,3.31,3.29,9.4,101.0,6000.0,23,10945
53,3,150.0,11,1.0,1.0,0,3,1.0,1.0,95.3,169.0,65.7,49.6,2380,0.0,1.0,70,1.0,3.31,3.29,9.4,101.0,6000.0,23,11845
54,3,150.0,11,1.0,1.0,0,3,1.0,1.0,95.3,169.0,65.7,49.6,2385,0.0,1.0,70,1.0,3.31,3.29,9.4,101.0,6000.0,23,13645
55,3,150.0,11,1.0,1.0,0,3,1.0,1.0,95.3,169.0,65.7,49.6,2500,0.0,1.0,80,6.0,3.31,3.29,9.4,135.0,6000.0,23,15645
56,1,129.0,11,1.0,1.0,0,3,2.0,1.0,98.8,177.8,66.5,53.7,2385,4.0,4.0,122,5.0,3.39,3.39,8.6,84.0,4800.0,32,8845
57,0,115.0,11,1.0,1.0,1,4,2.0,1.0,98.8,177.8,66.5,55.5,2410,4.0,4.0,122,5.0,3.39,3.39,8.6,84.0,4800.0,32,8495
58,1,129.0,11,1.0,1.0,0,3,2.0,1.0,98.8,177.8,66.5,53.7,2385,4.0,4.0,122,5.0,3.39,3.39,8.6,84.0,4800.0,32,10595
59,0,115.0,11,1.0,1.0,1,4,2.0,1.0,98.8,177.8,66.5,55.5,2410,4.0,4.0,122,5.0,3.39,3.39,8.6,84.0,4800.0,32,10245
60,0,115.0,11,0.0,1.0,1,4,2.0,1.0,98.8,177.8,66.5,55.5,2443,4.0,4.0,122,4.0,3.39,3.39,9.0,64.0,4650.0,42,10795
61,0,115.0,11,1.0,1.0,1,3,2.0,1.0,98.8,177.8,66.5,55.5,2425,4.0,4.0,122,5.0,3.39,3.39,8.6,84.0,4800.0,32,11245
62,0,118.0,11,1.0,1.0,1,4,1.0,1.0,104.9,175.0,66.1,54.4,2670,4.0,4.0,140,6.0,3.76,3.16,8.0,120.0,5000.0,27,18280
63,0,115.0,11,0.0,1.0,1,4,1.0,1.0,104.9,175.0,66.1,54.4,2700,4.0,4.0,134,4.0,3.43,3.64,9.0,72.0,4200.0,39,18344
64,-1,93.0,6,0.0,0.0,1,4,1.0,1.0,110.0,190.9,70.3,56.5,3515,4.0,2.0,183,4.0,3.58,3.64,9.0,123.0,4350.0,25,25552
65,-1,93.0,6,0.0,0.0,1,2,1.0,1.0,110.0,190.9,70.3,58.7,3750,4.0,2.0,183,4.0,3.58,3.64,9.0,123.0,4350.0,25,28248
66,0,93.0,6,0.0,0.0,0,1,1.0,1.0,106.7,187.5,70.3,54.9,3495,4.0,2.0,183,4.0,3.58,3.64,9.0,123.0,4350.0,25,28176
67,-1,93.0,6,0.0,0.0,1,4,1.0,1.0,97.0,202.6,65.5,56.3,3770,4.0,2.0,183,4.0,3.58,3.64,9.0,123.0,4350.0,25,31600
68,-1,115.0,6,1.0,1.0,1,4,1.0,1.0,97.0,202.6,65.5,56.5,3740,2.0,1.0,120,6.0,3.46,3.1,8.3,155.0,4750.0,18,34184
69,3,142.0,6,1.0,1.0,0,0,1.0,1.0,96.6,180.3,65.5,50.8,3685,2.0,1.0,120,6.0,3.46,3.1,8.3,155.0,4750.0,18,35056
70,0,115.0,6,1.0,1.0,1,4,1.0,1.0,97.0,208.1,65.5,56.7,3900,2.0,1.0,120,6.0,3.8,3.35,8.0,184.0,4500.0,16,40960
71,1,115.0,6,1.0,1.0,0,1,1.0,1.0,112.0,199.2,65.5,55.4,3715,2.0,1.0,120,6.0,3.8,3.35,8.0,184.0,4500.0,16,45400
72,1,115.0,0,1.0,0.0,0,3,1.0,1.0,102.7,178.4,68.0,54.8,2910,4.0,4.0,140,6.0,3.78,3.12,8.0,175.0,5000.0,24,16503
73,2,161.0,10,1.0,1.0,0,3,2.0,1.0,93.7,157.3,64.4,50.8,1918,4.0,4.0,92,5.0,2.97,3.23,9.4,68.0,5500.0,41,5389
74,2,161.0,10,1.0,1.0,0,3,2.0,1.0,93.7,157.3,64.4,50.8,1944,4.0,4.0,92,5.0,2.97,3.23,9.4,68.0,5500.0,38,6189
75,2,161.0,10,1.0,1.0,0,3,2.0,1.0,93.7,157.3,64.4,50.8,2004,4.0,4.0,92,5.0,2.97,3.23,9.4,68.0,5500.0,38,6669
76,1,161.0,10,1.0,0.0,0,3,2.0,1.0,93.0,157.3,63.8,50.8,2145,4.0,4.0,98,2.0,3.03,3.39,7.6,102.0,5500.0,30,7689
77,3,153.0,10,1.0,0.0,0,3,2.0,1.0,96.3,173.0,65.4,49.4,2370,4.0,4.0,110,2.0,3.17,3.46,7.5,116.0,5500.0,30,9959
78,3,153.0,10,1.0,1.0,0,3,2.0,1.0,96.3,173.0,65.4,49.4,2328,4.0,4.0,122,5.0,3.35,3.46,8.5,88.0,5000.0,32,8499
79,3,115.0,10,1.0,0.0,0,3,2.0,1.0,95.9,173.2,66.3,50.2,2833,4.0,4.0,156,2.0,3.58,3.86,9.0,145.0,5000.0,24,12629
80,3,115.0,10,1.0,0.0,0,3,2.0,1.0,95.9,173.2,66.3,50.2,2921,4.0,4.0,156,2.0,3.59,3.86,9.0,145.0,5000.0,24,14869
81,3,115.0,10,1.0,0.0,0,3,2.0,1.0,95.9,173.2,66.3,50.2,2926,4.0,4.0,156,2.0,3.59,3.86,9.0,145.0,5000.0,24,14489
82,1,125.0,10,1.0,1.0,1,4,2.0,1.0,96.3,172.4,65.4,51.6,2365,4.0,4.0,122,5.0,3.35,3.46,8.5,88.0,5000.0,32,6989
83,1,125.0,10,1.0,1.0,1,4,2.0,1.0,96.3,172.4,65.4,51.6,2405,4.0,4.0,122,5.0,3.35,3.46,8.5,88.0,5000.0,32,8189
84,1,125.0,10,1.0,0.0,1,4,2.0,1.0,96.3,172.4,65.4,51.6,2403,4.0,4.0,110,2.0,3.17,3.46,7.5,116.0,5500.0,30,9279
85,-1,137.0,10,1.0,1.0,1,4,2.0,1.0,96.3,172.4,65.4,51.6,2403,4.0,4.0,110,2.0,3.17,3.46,7.5,116.0,5500.0,30,9279
86,1,128.0,12,1.0,1.0,0,4,2.0,1.0,94.5,165.3,63.8,54.5,1889,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,5499
87,1,128.0,12,0.0,1.0,0,4,2.0,1.0,94.5,165.3,63.8,54.5,2017,4.0,4.0,103,4.0,2.99,3.47,9.0,55.0,4800.0,30,7099
88,1,128.0,12,1.0,1.0,0,4,2.0,1.0,94.5,165.3,63.8,54.5,1918,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,6649
89,1,122.0,12,1.0,1.0,1,4,2.0,1.0,94.5,165.3,63.8,54.5,1938,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,6849
90,1,103.0,12,1.0,1.0,1,2,2.0,1.0,94.5,170.2,63.8,53.5,2024,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,7349
91,1,128.0,12,1.0,1.0,0,4,2.0,1.0,94.5,165.3,63.8,54.5,1951,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,7299
92,1,128.0,12,1.0,1.0,0,3,2.0,1.0,94.5,165.6,63.8,53.3,2028,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,7799
93,1,122.0,12,1.0,1.0,1,4,2.0,1.0,94.5,165.3,63.8,54.5,1971,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,7499
94,1,103.0,12,1.0,1.0,1,2,2.0,1.0,94.5,170.2,63.8,53.5,2037,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,7999
95,2,168.0,12,1.0,1.0,0,1,2.0,1.0,95.1,162.4,63.8,53.3,2008,4.0,4.0,97,5.0,3.15,3.29,9.4,69.0,5200.0,37,8249
96,0,106.0,12,1.0,1.0,1,3,2.0,1.0,97.2,173.4,65.2,54.7,2324,4.0,4.0,120,5.0,3.33,3.47,8.5,97.0,5200.0,34,8949
97,0,106.0,12,1.0,1.0,1,4,2.0,1.0,97.2,173.4,65.2,54.7,2302,4.0,4.0,120,5.0,3.33,3.47,8.5,97.0,5200.0,34,9549
98,0,128.0,12,1.0,1.0,1,4,2.0,1.0,100.4,181.7,66.5,55.1,3095,2.0,3.0,181,6.0,3.43,3.27,9.0,152.0,5200.0,22,13499
99,0,108.0,12,1.0,1.0,1,2,2.0,1.0,100.4,184.6,66.5,56.1,3296,2.0,3.0,181,6.0,3.43,3.27,9.0,152.0,5200.0,22,14399
100,0,108.0,12,1.0,1.0,1,4,2.0,1.0,100.4,184.6,66.5,55.1,3060,2.0,3.0,181,6.0,3.43,3.27,9.0,152.0,5200.0,25,13499
101,3,115.0,12,1.0,1.0,0,3,1.0,1.0,91.3,170.7,67.9,49.7,3071,2.0,3.0,181,6.0,3.43,3.27,9.0,160.0,5200.0,25,17199
102,3,115.0,12,1.0,0.0,0,3,1.0,1.0,91.3,170.7,67.9,49.7,3139,2.0,3.0,181,6.0,3.43,3.27,7.8,95.0,5200.0,23,19699
103,1,115.0,12,1.0,1.0,0,3,1.0,1.0,99.2,178.5,67.9,49.7,3139,2.0,3.0,181,6.0,3.43,3.27,9.0,160.0,5200.0,25,18399
104,0,161.0,8,1.0,1.0,1,4,1.0,1.0,107.9,186.7,68.4,56.7,3020,1.0,4.0,120,6.0,3.46,3.19,8.4,97.0,5000.0,24,11900
105,0,161.0,8,0.0,0.0,1,4,1.0,1.0,107.9,186.7,68.4,56.7,3197,1.0,4.0,152,4.0,3.7,3.52,9.0,95.0,4150.0,33,13200
106,0,115.0,8,1.0,1.0,1,2,1.0,1.0,114.2,198.9,68.4,58.7,3230,1.0,4.0,120,6.0,3.46,3.19,8.4,97.0,5000.0,24,12440
107,0,115.0,8,0.0,0.0,1,2,1.0,1.0,114.2,198.9,68.4,58.7,3430,1.0,4.0,152,4.0,3.7,3.52,9.0,95.0,4150.0,25,13860
108,0,161.0,8,1.0,1.0,1,4,1.0,1.0,107.9,186.7,68.4,56.7,3075,1.0,4.0,120,6.0,3.46,3.29,8.4,95.0,5000.0,24,15580
109,0,161.0,8,0.0,0.0,1,4,1.0,1.0,107.9,186.7,68.4,56.7,3252,1.0,4.0,152,4.0,3.7,3.52,9.0,95.0,4150.0,33,16900
110,0,115.0,8,1.0,1.0,1,2,1.0,1.0,114.2,198.9,68.4,56.7,3285,1.0,4.0,120,6.0,3.46,3.29,8.4,95.0,5000.0,24,16695
111,0,115.0,8,0.0,0.0,1,2,1.0,1.0,114.2,198.9,68.4,58.7,3485,1.0,4.0,152,4.0,3.7,3.52,9.0,95.0,4150.0,25,17075
112,0,161.0,8,1.0,1.0,1,4,1.0,1.0,107.9,186.7,68.4,56.7,3075,1.0,4.0,120,6.0,3.46,3.19,8.4,97.0,5000.0,24,16630
113,0,161.0,8,0.0,0.0,1,4,1.0,1.0,107.9,186.7,68.4,56.7,3252,1.0,4.0,152,4.0,3.7,3.52,9.0,95.0,4150.0,33,17950
114,0,161.0,8,1.0,0.0,1,4,1.0,1.0,108.0,186.7,68.3,56.0,3130,1.0,4.0,134,6.0,3.61,3.21,9.0,142.0,5600.0,24,18150
115,1,119.0,5,1.0,1.0,0,3,2.0,1.0,93.7,157.3,63.8,50.8,1918,4.0,4.0,90,5.0,2.97,3.23,9.4,68.0,5500.0,41,5572
116,1,119.0,5,1.0,0.0,0,3,2.0,1.0,93.7,157.3,63.8,50.8,2128,4.0,4.0,98,2.0,3.03,3.39,7.6,102.0,5500.0,30,7957
117,1,154.0,5,1.0,1.0,1,3,2.0,1.0,93.7,157.3,63.8,50.6,1967,4.0,4.0,90,5.0,2.97,3.23,9.4,68.0,5500.0,38,6229
118,1,154.0,5,1.0,1.0,1,4,2.0,1.0,93.7,167.3,63.8,50.8,1989,4.0,4.0,90,5.0,2.97,3.23,9.4,68.0,5500.0,38,6692
119,1,154.0,5,1.0,1.0,1,4,2.0,1.0,93.7,167.3,63.8,50.8,2191,4.0,4.0,98,5.0,2.97,3.23,9.4,68.0,5500.0,38,7609
120,-1,74.0,5,1.0,1.0,1,2,2.0,1.0,103.3,174.6,64.6,59.8,2535,4.0,4.0,122,5.0,3.35,3.46,8.5,88.0,5000.0,30,8921
121,3,115.0,5,1.0,0.0,0,3,1.0,1.0,95.9,173.2,66.3,50.2,2818,4.0,4.0,156,2.0,3.59,3.86,9.0,145.0,5000.0,24,12764
122,3,186.0,3,1.0,1.0,0,3,1.0,1.0,94.5,168.9,68.3,50.2,2778,4.0,4.0,151,6.0,3.94,3.11,9.5,143.0,5500.0,27,22018
123,3,115.0,3,1.0,1.0,0,1,1.0,0.0,89.5,168.9,65.0,51.6,2756,3.0,3.0,194,6.0,3.74,2.9,9.5,95.0,5900.0,25,32528
124,3,115.0,3,1.0,1.0,0,1,1.0,0.0,89.5,168.9,65.0,51.6,2756,3.0,3.0,194,6.0,3.74,2.9,9.5,95.0,5900.0,25,34028
125,3,115.0,3,1.0,1.0,0,0,1.0,0.0,89.5,168.9,65.0,51.6,2800,3.0,3.0,194,6.0,3.74,2.9,9.5,95.0,5900.0,25,37028
126,0,115.0,1,1.0,1.0,1,2,2.0,1.0,96.1,181.5,66.5,55.2,2579,4.0,4.0,132,6.0,3.46,3.29,8.7,95.0,5200.0,31,9295
127,2,115.0,1,1.0,1.0,0,3,2.0,1.0,96.1,176.8,66.6,50.5,2460,4.0,4.0,132,6.0,3.46,3.29,8.7,95.0,5200.0,31,9895
128,3,150.0,4,1.0,1.0,0,3,2.0,1.0,99.1,186.6,66.5,56.1,2658,4.0,4.0,121,6.0,3.54,3.07,9.31,110.0,5250.0,28,11850
129,2,104.0,4,1.0,1.0,1,4,2.0,1.0,99.1,186.6,66.5,56.1,2695,4.0,4.0,121,6.0,3.54,3.07,9.3,110.0,5250.0,28,12170
130,3,150.0,4,1.0,1.0,0,3,2.0,1.0,99.1,186.6,66.5,56.1,2707,4.0,4.0,121,6.0,2.54,3.29,9.3,110.0,5250.0,28,15040
131,2,104.0,4,1.0,1.0,1,4,2.0,1.0,99.1,186.6,66.5,56.1,2758,4.0,4.0,121,6.0,3.54,3.07,9.3,110.0,5250.0,28,15510
132,3,150.0,4,1.0,0.0,0,3,2.0,1.0,99.1,186.6,66.5,56.1,2808,1.0,4.0,121,6.0,3.54,3.07,9.0,160.0,5500.0,26,18150
133,2,104.0,4,1.0,0.0,1,4,2.0,1.0,99.1,186.6,66.5,56.1,2847,1.0,4.0,121,6.0,3.54,3.07,9.0,160.0,5500.0,26,18620
134,2,83.0,9,1.0,1.0,0,3,2.0,1.0,93.7,156.9,63.4,53.7,2050,3.0,4.0,97,5.0,3.62,3.29,9.0,69.0,4900.0,36,5118
135,2,83.0,9,1.0,1.0,0,3,2.0,1.0,93.7,157.9,63.6,53.7,2120,3.0,4.0,108,5.0,3.62,3.29,8.7,73.0,4400.0,31,7053
136,2,83.0,9,1.0,1.0,0,3,0.0,1.0,93.3,157.3,63.8,55.7,2240,3.0,4.0,108,5.0,3.62,3.29,8.7,73.0,4400.0,31,7603
137,0,102.0,9,1.0,1.0,1,4,2.0,1.0,97.2,172.0,65.4,52.5,2145,3.0,4.0,108,5.0,3.62,3.29,9.5,82.0,4800.0,37,7126
138,0,102.0,9,1.0,1.0,1,4,2.0,1.0,97.2,172.0,65.4,52.5,2190,3.0,4.0,108,5.0,3.62,3.29,9.5,82.0,4400.0,33,7775
139,0,102.0,9,1.0,1.0,1,4,2.0,1.0,97.2,172.0,65.4,52.5,2340,3.0,4.0,108,6.0,3.62,3.29,9.0,94.0,5200.0,32,9960
140,0,102.0,9,1.0,1.0,1,4,0.0,1.0,97.0,172.0,65.4,54.3,2385,3.0,4.0,108,5.0,3.62,3.29,9.0,82.0,4800.0,25,9233
141,0,102.0,9,1.0,0.0,1,4,0.0,1.0,97.0,172.0,65.4,54.3,2510,3.0,4.0,108,6.0,3.62,3.29,7.7,111.0,4800.0,29,11259
142,0,89.0,9,1.0,1.0,1,2,2.0,1.0,97.0,173.5,65.4,53.0,2290,3.0,4.0,108,5.0,3.62,3.29,9.0,82.0,4800.0,32,7463
143,0,89.0,9,1.0,1.0,1,2,2.0,1.0,97.0,173.5,65.4,53.0,2455,3.0,4.0,108,6.0,3.62,3.29,9.0,94.0,5200.0,31,10198
144,0,85.0,9,1.0,1.0,1,2,0.0,1.0,96.9,173.6,65.4,54.9,2420,3.0,4.0,108,5.0,3.62,3.29,9.0,82.0,4800.0,29,8013
145,0,85.0,9,1.0,0.0,1,2,0.0,1.0,96.9,173.6,65.4,54.9,2650,3.0,4.0,108,6.0,3.62,3.29,7.7,111.0,4800.0,23,11694
146,1,87.0,13,1.0,1.0,0,3,2.0,1.0,95.7,158.7,63.6,54.5,1985,4.0,4.0,92,5.0,3.05,3.03,9.0,62.0,4800.0,39,5348
147,1,87.0,13,1.0,1.0,0,3,2.0,1.0,95.7,158.7,63.6,54.5,2040,4.0,4.0,92,5.0,3.05,3.03,9.0,62.0,4800.0,38,6338
148,1,74.0,13,1.0,1.0,1,3,2.0,1.0,95.7,158.7,63.6,54.5,2015,4.0,4.0,92,5.0,3.05,3.03,9.0,62.0,4800.0,38,6488
149,0,77.0,13,1.0,1.0,1,2,2.0,1.0,95.7,169.7,63.6,59.1,2280,4.0,4.0,92,5.0,3.05,3.03,9.0,62.0,4800.0,37,6918
150,0,81.0,13,1.0,1.0,1,2,0.0,1.0,95.7,169.7,63.6,59.1,2290,4.0,4.0,92,5.0,3.05,3.03,9.0,62.0,4800.0,32,7898
151,0,91.0,13,1.0,1.0,1,2,0.0,1.0,95.7,169.7,63.6,59.1,3110,4.0,4.0,92,5.0,3.05,3.03,9.0,62.0,4800.0,32,8778
152,0,91.0,13,1.0,1.0,1,4,2.0,1.0,95.7,166.3,64.4,53.0,2081,4.0,4.0,98,5.0,3.19,3.03,9.0,70.0,4800.0,37,6938
153,0,91.0,13,1.0,1.0,1,3,2.0,1.0,95.7,166.3,64.4,52.8,2109,4.0,4.0,98,5.0,3.19,3.03,9.0,70.0,4800.0,37,7198
